电影名称,评分,类型,制片国家/地区,时间,票房
2012,8.0,科幻 / 灾难,美国/加拿大,2009年11月13日,4.66亿
变形金刚2 Transformers: Revenge of the Fallen,7.8,动作 / 科幻,美国,2009年6月24日,4.23亿，总票房4.28亿
建国大业,7.7,动作 / 剧情 / 历史,中国香港/中国大陆,2009年12月17日,2.93亿
三枪拍案惊奇,4.7,喜剧 / 悬疑 / 古装,中国大陆/中国香港,2009年12月10日,2.61亿
赤壁(下),6.4,动作 / 历史 / 战争 / 古装,中国大陆/中国香港/日本/中国台湾/韩国,2009年1月7日,2.59亿
风声,8.4,犯罪 / 剧情 / 惊悚 / 战争,中国大陆,2009年9月29日,2.16亿
南京！南京！,7.6,剧情 / 历史 / 战争,中国大陆/中国香港,2009年4月22日,1.72亿
冰川时代3 Ice Age: Dawn of the Dinosaurs,8.3,喜剧 / 动画 / 冒险,美国,2009年7月8日,1.53亿
哈利·波特与混血王子 Harry Potter and the Half-Blood Prince,8.3,奇幻 / 冒险,英国/美国,2009年7月15日,1.56亿
特种部队：眼镜蛇的崛起 G.I. Joe: The Rise of Cobra,7.3,动作 / 科幻,美国,2009年8月7日,1.31亿
博物馆奇妙夜2 Night at the Museum: Battle of the Smithsonian,7.2,喜剧 / 动作 / 奇幻 / 冒险,美国/加拿大,2009年5月26日,1.21亿
游龙戏凤 遊龍戲鳳,6.0,爱情,中国香港,2009年1月26日,1.02亿
终结者2018 Terminator Salvation,6.7,动作 / 冒险 / 科幻 / 惊悚,美国/德国/英国/意大利,2009年6月9日,1.12亿
疯狂的赛车,8.3,动作 / 冒险 / 喜剧,中国大陆,2009年1月20日,1.09亿
大内密探灵灵狗 大內密探靈靈狗,5.2,喜剧 / 动作 / 武侠 / 古装,中国香港/中国大陆/中国台湾,2009年7月30日,9940万
非常完美,5.9,喜剧 / 爱情,中国大陆/韩国,2009年8月14日,9400万
喜羊羊与灰太狼之牛气冲天,7.0,儿童 / 喜剧 / 动画,中国大陆,2009年1月16日,7599万
飞屋环游记 Up,9.1,剧情 / 喜剧 / 动画 / 冒险,美国,2009年8月4日,9076万
花木兰,6.2,冒险 / 剧情 / 爱情,中国大陆/中国香港,2009年11月27日,8322万
窃听风云 竊聽風雲,7.6,动作 / 剧情 / 惊悚,中国香港/中国大陆/新加坡,2009年7月24日,8660万
金刚狼 X-Men Origins: Wolverine,7.6,动作 / 科幻,美国/英国,2009年5月3日,7889万
麦兜响当当 麥兜響當當,7.6,动画 / 喜剧,中国大陆/中国香港,2009年7月24日,7060万
刺陵,3.9,动作 / 冒险,中国大陆/中国台湾/中国香港,2009年12月9日,6775万
七龙珠 Dragonball Evolution,3.7,动作 / 冒险 / 奇幻 / 科幻 / 惊悚,美国/中国香港/英国,2009年3月14日,6215万
风云Ⅱ 風雲Ⅱ,5.1,动作 / 冒险 / 奇幻,中国香港/中国大陆,2009年12月9日,5953万
星际迷航 Star Trek,8.1,动作 / 冒险 / 科幻,美国/德国,2009年5月15日,5855万
玩命快递3 Transporter 3,7.1,动作 / 犯罪,法国,2009年2月12日,5845万
行动目标希特勒 Valkyrie,7.2,剧情 / 历史 / 战争,美国/德国,2009年2月26日,5650万
贫民窟的百万富翁 Slumdog Millionaire,8.6,剧情 / 爱情,英国,2009年3月26日,5370万
机器侠,5.3,动作 / 喜剧 / 爱情 / 科幻,中国大陆,2009年8月18日,5154万
就是这样 This Is It,8.8,纪录片 / 音乐,美国,2009年10月28日,4826万
阿童木 Astro Boy,6.9,动画 / 动作 / 家庭 / 科幻,中国香港/美国/日本,2009年10月23日,4545万
气喘吁吁,4.0,喜剧 / 剧情,中国大陆,2009年8月28日,4070万
家有喜事2009,5.5,喜剧,中国香港,2009年1月22日,3540万，总票房4050万
马达加斯加2：逃往非洲 Madagascar: Escape 2 Africa,7.8,动画 / 动作 / 冒险 / 喜剧 / 家庭,美国,2009年1月1日,3400万，总票房3400万
大战外星人 Monsters vs. Aliens,6.9,动画 / 动作 / 冒险 / 喜剧 / 家庭 / 科幻,美国,2009年3月31日,3220万，总票房3220万
速度与激情4 Fast &amp; Furious,7.8,动作 / 犯罪,美国,2009年4月15日,3015万
地铁惊魂 The Taking of Pelham 123,6.7,剧情 / 动作 / 犯罪,美国/英国,2009年10月20日,3015万
豚鼠特攻队 G-Force,6.9,动作 / 动画 / 冒险,美国,2009年11月24日,2655万
东邪西毒 東邪西毒,8.6,剧情 / 动作 / 爱情 / 武侠 / 古装,中国香港/中国台湾,2009年3月27日,2650万，总票房2650万
时空穿越者 Les deux mondes,6.1,喜剧 / 奇幻,法国,2009年3月5日,2604万，总票房2604万
铁人,6.9,剧情,中国大陆,2009年5月1日,2024万
白银帝国,6.3,剧情 / 历史 / 古装,中国大陆/中国台湾/中国香港,2009年8月21日,2230万
超级女特工 Les femmes de l&#39;ombre,7.1,剧情 / 历史 / 战争,法国,2009年4月28日,2200万
爱得起,5.7,喜剧 / 爱情,中国香港/中国大陆,2009年2月13日,1890万，总票房2150万
倔强萝卜,5.4,喜剧 / 犯罪,中国大陆,2009年10月23日,2135万
海角七号 海角七號,7.6,喜剧 / 剧情 / 爱情,中国台湾,2009年2月14日,2065万，总票房2065万
熊猫大侠,4.4,喜剧 / 动作 / 武侠 / 古装,中国大陆,2009年11月20日,2000万
海云台 해운대,6.5,剧情 / 动作 / 灾难,韩国,2009年8月25日,855万
国家要案 State of Play,7.0,剧情 / 悬疑 / 惊悚,美国/英国/法国,2009年8月18日,1585万
澳洲乱世情 Australia,7.3,冒险 / 剧情 / 历史 / 爱情 / 战争,澳大利亚/美国,2009年1月28日,1460万，总票房1650万
扑克王 撲克王,5.5,喜剧,中国香港,2009年12月22日,1479万
寻找成龙,4.0,儿童 / 喜剧 / 动作 / 家庭,中国大陆,2009年7月3日,1435万
高考1977,7.2,剧情,中国大陆,2009年4月3日,1390万
护宝娇娃 Скалолазка,4.3,动作 / 冒险,俄罗斯,2009年3月6日,1380万
午夜出租车,3.8,恐怖,中国大陆,2009年12月22日,1290万
第九区 District 9,8.3,动作 / 剧情 / 科幻 / 惊悚,美国/新西兰/加拿大/南非,2009年11月27日,1270万
特工008 Непобедимый,5.8,动作,俄罗斯,2009年10月10日,1210万
追影,4.4,动作 / 喜剧,中国/中国香港,2009年7月30日,1220万
夜·店,6.8,喜剧,中国大陆,2009年7月24日,1190万
斗牛,8.2,剧情 / 喜剧,中国大陆,2009年9月11日,1110万
沂蒙六姐妹,7.8,剧情 / 战争,中国大陆,2009年9月8日,1010万
狼灾记,4.4,剧情,中国大陆/日本/中国香港/美国/新加坡,2009年10月2日,1020万
伯纳德行动 Die Fälscher,7.9,犯罪 / 剧情 / 战争,德国/奥地利,2009年4月3日,987万
熊猫回家路,6.9,家庭,中国大陆,2009年5月8日,960万
麦田,5.0,动作 / 剧情 / 历史,中国大陆,2009年9月27日,940万
火星没事,4.9,喜剧 / 儿童,中国大陆,2009年11月20日,935万
拉贝日记 John Rabe,7.5,传记 / 剧情 / 历史 / 战争,法国/中国大陆/德国,2009年4月29日,930万
红河,7.2,剧情 / 爱情,中国大陆,2009年4月10日,840万，总票房840万
马兰花,5.1,剧情 / 动画,中国大陆,2009年6月19日,795万
恋爱前规则,5.1,剧情 / 喜剧 / 爱情,中国大陆,2009年11月3日,730万
仙境之桥 Bridge to Terabithia,7.9,剧情 / 奇幻 / 冒险,美国,2009年1月26日,470万
完美新娘,5.8,动作 / 犯罪 / 剧情,中国香港,2009年4月17日,610万
哆啦A梦：大雄与绿巨人传 映画ドラえもん のび太と緑の巨人伝,7.6,动画,日本,2009年8月4日,590万
惊天动地,6.9,剧情,中国大陆,2009年9月24日,580万
爱有来生,7.7,剧情 / 爱情,中国大陆,2009年9月3日,484万
秋喜,5.9,剧情 / 悬疑 / 惊悚,中国大陆,2009年10月14日,455万
真爱之吻 Penelope,6.7,喜剧 / 奇幻 / 爱情,英国/美国,2009年9月4日,450万
神兵小将,8.8,动画 / 奇幻,中国大陆,2009年10月1日,400万
隋朝来客,4.7,剧情 / 喜剧,中国大陆,2009年11月6日,325万
袁崇焕,7.2,历史,中国大陆,2009年6月19日,315万
战·无双 戰•無雙,3.9,动作 / 剧情,中国香港/中国大陆,2009年5月15日,242万
我的唐朝兄弟,6.7,动作,中国大陆,2009年11月20日,211万
麋鹿王,6.1,动画,中国大陆,2009年9月29日,210万
皇家刺青,4.7,剧情 / 悬疑 / 武侠 / 古装,中国,2009年9月30日,65万
七天爱上你,5.6,剧情 / 喜剧 / 爱情,中国,2009年11月3日,153万
夜玫瑰,6.6,喜剧 / 剧情 / 爱情,中国大陆,2009年2月14日（？存疑）,120万
末路雷霆 Dòng máu anh hùng,6.4,动作 / 剧情 / 爱情,越南,2009年4月3日,130万
精灵女孩小卓玛,6.8,动画 / 奇幻,中国,2009年5月27日,117万
我的机器人女友 僕の彼女はサイボーグ,7.5,喜剧 / 爱情 / 科幻,日本,2009年7月28日,110万
二十四城记,7.4,剧情,中国大陆/中国香港/日本,2009年3月6日,110万
跳出去,5.3,喜剧 / 剧情,中国香港/中国,2009年12月3日,100万
替身演员 La doublure,7.1,剧情 / 喜剧,法国/意大利/比利时,2009年2月6日,88万
袁隆平,9.0,剧情 / 传记,中国大陆,2009年6月19日,56万
喊过岭的故事,6.8,剧情,中国大陆/中国香港,2009年5月8日,40万
寻找微尘,6.3,剧情,中国大陆,2009年6月19日,35万
绑架冰激凌,4.9,喜剧,中国大陆,2010年12月31日,255万
前度,7.0,爱情,中国香港,2010年12月30日,680万
午夜心跳,3.3,恐怖,中国大陆,2010年12月24日,3125万
火线特攻 Righteous Kill,6.6,剧情 / 犯罪 / 悬疑,美国,2010年11月30日,700万
赵氏孤儿,6.0,剧情 / 动作 / 历史 / 武侠 / 古装,中国大陆,2010年12月4日,1.963亿
大笑江湖,4.8,动作 / 爱情 / 武侠 / 古装,中国大陆/中国台湾,2010年12月3日,1.5895亿
大玩家,4.6,喜剧,中国大陆,2010年11月25日,740万
李小龙我的兄弟,6.3,剧情 / 传记 / 动作 / 爱情,中国大陆/中国香港,2010年11月25日,1374万
生化危机4：战神再生 Resident Evil: Afterlife,6.8,动作 / 科幻 / 恐怖,德国/法国/美国/加拿大,2010年11月16日,1.432亿
哈利·波特与死亡圣器(上) Harry Potter and the Deathly Hallows: Part 1,8.5,奇幻 / 冒险,英国/美国,2010年11月19日,2.211亿
爱情36计,5.0,喜剧 / 爱情,中国大陆,2010年11月9日,480万
爱出色,5.9,喜剧 / 爱情,中国大陆,2010年11月9日,1300万
猫头鹰王国：守卫者传奇 Legend of the Guardians: The Owls of Ga&#39;Hoole,7.4,动作 / 动画 / 奇幻 / 冒险,美国/澳大利亚,2010年11月12日,3080万
危情时速 Unstoppable,7.8,动作 / 惊悚,美国,2010年11月9日,6752万
康定情歌,6.7,剧情 / 战争 / 冒险,中国大陆,2010年11月5日,839万
功夫·咏春,5.5,动作,中国大陆/中国香港,2010年11月2日,590万
我的野蛮女友2,3.8,喜剧 / 爱情,中国大陆,2010年11月5日,1840万
跟我的前妻谈恋爱,5.3,剧情 / 爱情,中国大陆/中国香港/韩国,2010年10月22日,470万
密室之不可告人,5.7,悬疑 / 惊悚,中国大陆,2010年10月29日,2109万
西风烈,6.1,剧情 / 动作 / 犯罪 / 西部,中国大陆,2010年10月28日,6340万
爱情维修站,5.6,剧情,中国大陆,2010年10月21日,670万
完美嫁衣 抱抱俏佳人,6.5,喜剧 / 爱情,中国香港/中国大陆,2010年10月22日,1460万
异空危情,4.0,爱情 / 惊悚 / 情色,中国大陆,2010年10月12日,120万
悍将双雄 Jerry Cotton,5.9,喜剧 / 犯罪,德国,2010年10月12日,340万
绝命岛,3.2,喜剧,中国大陆,2010年10月12日,1420万
魔侠传之唐吉可德,4.4,剧情 / 喜剧 / 动作 / 爱情 / 武侠 / 古装,中国大陆,2010年10月15日,3552万
华尔街：金钱永不眠 Wall Street: Money Never Sleeps,6.5,剧情 / 犯罪,美国,2010年10月15日,4983万
庐山恋2010,4.8,剧情 / 爱情,中国大陆,2010年10月5日,427万
剑雨,7.6,动作 / 爱情 / 武侠 / 古装,中国大陆/中国香港/中国台湾,2010年9月28日,6600万
狄仁杰之通天帝国,6.6,动作 / 悬疑 / 古装,中国大陆/中国香港,2010年9月29日,2.955亿
虎王归来 Tiger Returns,4.9,喜剧 / 动画 / 儿童,中国大陆,2010年9月22日,557万
精武风云·陈真 精武風雲·陳真,6.1,动作,中国香港/中国大陆,2010年9月21日,1.3668亿
大劫难,6.4,剧情 / 战争,中国大陆,2010年8月20日,166万
让子弹飞,9.0,剧情 / 喜剧 / 动作 / 西部,中国大陆/中国香港,2010年12月16日,6.647亿
山楂树之恋,7.1,剧情 / 爱情,中国大陆,2010年9月15日,1.4413亿
举起手来2：追击阿多丸号,5.4,喜剧,中国大陆,2010年9月9日,828万
魔法师的学徒 The Sorcerer&#39;s Apprentice,6.2,动作 / 冒险 / 喜剧 / 剧情 / 奇幻,美国,2010年9月9日,6122万
盗梦空间 Inception,9.4,剧情 / 科幻 / 悬疑 / 冒险,美国/英国,2010年9月1日,4.5714亿
最后的风之子 The Last Airbender,5.0,动作 / 冒险 / 家庭 / 奇幻,美国,2010年8月23日,2991万
线人 綫人,7.4,动作 / 剧情 / 惊悚,中国香港/中国大陆,2010年8月24日,4952万
龙凤店,5.1,喜剧 / 爱情 / 古装,中国香港/中国大陆,2010年8月19日,2883万
怪物史瑞克4 Shrek Forever After,7.6,喜剧 / 动作 / 动画 / 冒险,美国,2010年8月16日,8875万
敢死队 The Expendables,6.9,动作 / 冒险 / 惊悚,美国/保加利亚/西班牙/德国,2010年8月20日,2.1306亿
翡翠明珠,5.2,剧情 / 爱情 / 古装,中国香港/中国大陆,2010年8月13日,960万
荒村公寓,3.9,惊悚,中国大陆/中国香港,2010年8月13日,2360万
恋爱通告,5.9,喜剧 / 爱情,中国台湾/中国大陆,2010年8月12日,5455万
阿黛拉的非凡冒险 Les aventures extraordinaires d&#39;Adèle Blanc-Sec,6.9,喜剧 / 奇幻 / 冒险,法国/美国,2010年8月3日,5250万
全城戒备 全城戒備,4.6,动作 / 科幻 / 惊悚,中国香港/中国大陆,2010年8月6日,8800万
第一书记,7.5,传记,中国大陆,2010年7月15日,1300万
我的美女老板,4.8,剧情,中国大陆,2010年7月30日,1090万
深海探奇 OceanWorld 3D,6.8,纪录片,英国,2010年7月30日,2070万
七小罗汉,5.2,喜剧 / 动作,中国大陆,2010年7月23日,2310万
黑色闪电 Черная Молния,6.4,动作 / 科幻 / 惊悚,俄罗斯,2010年7月15日,740万
非诚勿扰2,6.6,喜剧 / 爱情,中国大陆,2010年12月22日,4.735亿
出水芙蓉,5.1,喜剧 / 运动,中国香港/中国大陆,2010年7月9日,710万
长江7号爱地球,6.3,动画,中国大陆/中国香港,2010年7月9日,1620万
嘻游记,3.3,喜剧,中国大陆,2010年7月2日,2770万
枪王之王,6.7,动作 / 悬疑 / 惊悚,中国香港/中国大陆,2010年7月1日,1.235亿
80&#39;后,7.0,剧情,中国大陆,2010年6月25日,1200万
决战刹马镇,6.1,喜剧 / 西部 / 冒险,中国大陆,2010年6月22日,4740万
功夫梦 The Karate Kid,6.4,动作 / 剧情 / 家庭 / 运动,美国/中国大陆,2010年6月22日,4700万
