,电影名称,评分,类型,制片国家/地区,时间,票房（万）,国产
0,卧虎藏龙：青冥宝剑 Crouching Tiger,4.9,剧情 / 动作 / 武侠 / 古装,中国大陆/美国,2016,25609.0,1.0
1,屠魔战士 I,5.4,动作 / 科幻 / 奇幻 / 惊悚,美国/澳大利亚,2015,4693.0,0.0
2,三块广告牌 Three Billboards Outside Ebbing,8.7,剧情 / 犯罪,英国/美国,2018,6433.0,0.0
3,催眠大师,7.6,悬疑 / 惊悚,中国大陆,2014,27186,1.0
4,2012,8.0,科幻 / 灾难,美国/加拿大,2009,46600.0,0.0
5,变形金刚2 Transformers: Revenge of the Fallen,7.8,动作 / 科幻,美国,2009,42800.0,0.0
6,建国大业,7.7,动作 / 剧情 / 历史,中国香港/中国大陆,2009,29300.0,1.0
7,三枪拍案惊奇,4.7,喜剧 / 悬疑 / 古装,中国大陆/中国香港,2009,26100.0,1.0
8,赤壁(下),6.4,动作 / 历史 / 战争 / 古装,中国大陆/中国香港/日本/中国台湾/韩国,2009,25900.0,1.0
9,风声,8.4,犯罪 / 剧情 / 惊悚 / 战争,中国大陆,2009,21600.0,1.0
10,南京！南京！,7.6,剧情 / 历史 / 战争,中国大陆/中国香港,2009,17200.0,1.0
11,冰川时代3 Ice Age: Dawn of the Dinosaurs,8.3,喜剧 / 动画 / 冒险,美国,2009,15300.0,0.0
12,哈利·波特与混血王子 Harry Potter and the Half-Blood Prince,8.3,奇幻 / 冒险,英国/美国,2009,15600.0,0.0
13,特种部队：眼镜蛇的崛起 G.I. Joe: The Rise of Cobra,7.3,动作 / 科幻,美国,2009,13100.0,0.0
14,博物馆奇妙夜2 Night at the Museum: Battle of the Smithsonian,7.2,喜剧 / 动作 / 奇幻 / 冒险,美国/加拿大,2009,12100.0,0.0
15,游龙戏凤 遊龍戲鳳,6.0,爱情,中国香港,2009,10200.0,1.0
16,终结者2018 Terminator Salvation,6.7,动作 / 冒险 / 科幻 / 惊悚,美国/德国/英国/意大利,2009,11200.000000000002,0.0
17,疯狂的赛车,8.3,动作 / 冒险 / 喜剧,中国大陆,2009,10900.0,1.0
18,大内密探灵灵狗 大內密探靈靈狗,5.2,喜剧 / 动作 / 武侠 / 古装,中国香港/中国大陆/中国台湾,2009,9940.0,1.0
19,非常完美,5.9,喜剧 / 爱情,中国大陆/韩国,2009,9400.0,1.0
20,喜羊羊与灰太狼之牛气冲天,7.0,儿童 / 喜剧 / 动画,中国大陆,2009,7599.0,1.0
21,飞屋环游记 Up,9.1,剧情 / 喜剧 / 动画 / 冒险,美国,2009,9076.0,0.0
22,花木兰,6.2,冒险 / 剧情 / 爱情,中国大陆/中国香港,2009,8322.0,1.0
23,窃听风云 竊聽風雲,7.6,动作 / 剧情 / 惊悚,中国香港/中国大陆/新加坡,2009,8660.0,1.0
24,金刚狼 X-Men Origins: Wolverine,7.6,动作 / 科幻,美国/英国,2009,7889.0,0.0
25,麦兜响当当 麥兜響當當,7.6,动画 / 喜剧,中国大陆/中国香港,2009,7060.0,1.0
26,刺陵,3.9,动作 / 冒险,中国大陆/中国台湾/中国香港,2009,6775.0,1.0
27,七龙珠 Dragonball Evolution,3.7,动作 / 冒险 / 奇幻 / 科幻 / 惊悚,美国/中国香港/英国,2009,6215.0,1.0
28,风云Ⅱ 風雲Ⅱ,5.1,动作 / 冒险 / 奇幻,中国香港/中国大陆,2009,5953.0,1.0
29,星际迷航 Star Trek,8.1,动作 / 冒险 / 科幻,美国/德国,2009,5855.0,0.0
30,玩命快递3 Transporter 3,7.1,动作 / 犯罪,法国,2009,5845.0,0.0
31,行动目标希特勒 Valkyrie,7.2,剧情 / 历史 / 战争,美国/德国,2009,5650.0,0.0
32,贫民窟的百万富翁 Slumdog Millionaire,8.6,剧情 / 爱情,英国,2009,5370.0,0.0
33,机器侠,5.3,动作 / 喜剧 / 爱情 / 科幻,中国大陆,2009,5154.0,1.0
34,就是这样 This Is It,8.8,纪录片 / 音乐,美国,2009,4826.0,0.0
35,阿童木 Astro Boy,6.9,动画 / 动作 / 家庭 / 科幻,中国香港/美国/日本,2009,4545.0,1.0
36,气喘吁吁,4.0,喜剧 / 剧情,中国大陆,2009,4070.0,1.0
37,家有喜事2009,5.5,喜剧,中国香港,2009,4050.0,1.0
38,马达加斯加2：逃往非洲 Madagascar: Escape 2 Africa,7.8,动画 / 动作 / 冒险 / 喜剧 / 家庭,美国,2009,3400.0,0.0
39,大战外星人 Monsters vs. Aliens,6.9,动画 / 动作 / 冒险 / 喜剧 / 家庭 / 科幻,美国,2009,3220.0,0.0
40,"速度与激情4 Fast &amp, Furious",7.8,动作 / 犯罪,美国,2009,3015.0,0.0
41,地铁惊魂 The Taking of Pelham 123,6.7,剧情 / 动作 / 犯罪,美国/英国,2009,3015.0,0.0
42,豚鼠特攻队 G-Force,6.9,动作 / 动画 / 冒险,美国,2009,2655.0,0.0
43,东邪西毒 東邪西毒,8.6,剧情 / 动作 / 爱情 / 武侠 / 古装,中国香港/中国台湾,2009,2650.0,1.0
44,时空穿越者 Les deux mondes,6.1,喜剧 / 奇幻,法国,2009,2604.0,0.0
45,铁人,6.9,剧情,中国大陆,2009,2024.0,1.0
46,白银帝国,6.3,剧情 / 历史 / 古装,中国大陆/中国台湾/中国香港,2009,2230.0,1.0
47,"超级女特工 Les femmes de l&#39,ombre",7.1,剧情 / 历史 / 战争,法国,2009,2200.0,0.0
48,爱得起,5.7,喜剧 / 爱情,中国香港/中国大陆,2009,2150.0,1.0
49,倔强萝卜,5.4,喜剧 / 犯罪,中国大陆,2009,2135.0,1.0
50,海角七号 海角七號,7.6,喜剧 / 剧情 / 爱情,中国台湾,2009,2065.0,1.0
51,熊猫大侠,4.4,喜剧 / 动作 / 武侠 / 古装,中国大陆,2009,2000.0,1.0
52,海云台 ???,6.5,剧情 / 动作 / 灾难,韩国,2009,855.0,0.0
53,国家要案 State of Play,7.0,剧情 / 悬疑 / 惊悚,美国/英国/法国,2009,1585.0,0.0
54,澳洲乱世情 Australia,7.3,冒险 / 剧情 / 历史 / 爱情 / 战争,澳大利亚/美国,2009,1650.0,0.0
55,扑克王 撲克王,5.5,喜剧,中国香港,2009,1479.0,1.0
56,寻找成龙,4.0,儿童 / 喜剧 / 动作 / 家庭,中国大陆,2009,1435.0,1.0
57,高考1977,7.2,剧情,中国大陆,2009,1390.0,1.0
58,护宝娇娃 Скалолазка,4.3,动作 / 冒险,俄罗斯,2009,1380.0,0.0
59,午夜出租车,3.8,恐怖,中国大陆,2009,1290.0,1.0
60,第九区 District 9,8.3,动作 / 剧情 / 科幻 / 惊悚,美国/新西兰/加拿大/南非,2009,1270.0,0.0
61,特工008 Непобедимый,5.8,动作,俄罗斯,2009,1210.0,0.0
62,追影,4.4,动作 / 喜剧,中国/中国香港,2009,1220.0,1.0
63,夜·店,6.8,喜剧,中国大陆,2009,1190.0,1.0
64,斗牛,8.2,剧情 / 喜剧,中国大陆,2009,1110.0,1.0
65,沂蒙六姐妹,7.8,剧情 / 战争,中国大陆,2009,1010.0,1.0
66,狼灾记,4.4,剧情,中国大陆/日本/中国香港/美国/新加坡,2009,1020.0,1.0
67,伯纳德行动 Die F?lscher,7.9,犯罪 / 剧情 / 战争,德国/奥地利,2009,987.0,0.0
68,熊猫回家路,6.9,家庭,中国大陆,2009,960.0,1.0
69,麦田,5.0,动作 / 剧情 / 历史,中国大陆,2009,940.0,1.0
70,火星没事,4.9,喜剧 / 儿童,中国大陆,2009,935.0,1.0
71,拉贝日记 John Rabe,7.5,传记 / 剧情 / 历史 / 战争,法国/中国大陆/德国,2009,930.0,1.0
72,红河,7.2,剧情 / 爱情,中国大陆,2009,840.0,1.0
73,马兰花,5.1,剧情 / 动画,中国大陆,2009,795.0,1.0
74,恋爱前规则,5.1,剧情 / 喜剧 / 爱情,中国大陆,2009,730.0,1.0
75,仙境之桥 Bridge to Terabithia,7.9,剧情 / 奇幻 / 冒险,美国,2009,470.0,0.0
76,完美新娘,5.8,动作 / 犯罪 / 剧情,中国香港,2009,610.0,1.0
77,哆啦A梦：大雄与绿巨人传 映画ドラえもん のび太と緑の巨人伝,7.6,动画,日本,2009,590.0,0.0
78,惊天动地,6.9,剧情,中国大陆,2009,580.0,1.0
79,爱有来生,7.7,剧情 / 爱情,中国大陆,2009,484.0,1.0
80,秋喜,5.9,剧情 / 悬疑 / 惊悚,中国大陆,2009,455.0,1.0
81,真爱之吻 Penelope,6.7,喜剧 / 奇幻 / 爱情,英国/美国,2009,450.0,0.0
82,神兵小将,8.8,动画 / 奇幻,中国大陆,2009,400.0,1.0
83,隋朝来客,4.7,剧情 / 喜剧,中国大陆,2009,325.0,1.0
84,袁崇焕,7.2,历史,中国大陆,2009,315.0,1.0
85,战·无双 戰?無雙,3.9,动作 / 剧情,中国香港/中国大陆,2009,242.0,1.0
86,我的唐朝兄弟,6.7,动作,中国大陆,2009,211.0,1.0
87,麋鹿王,6.1,动画,中国大陆,2009,210.0,1.0
88,皇家刺青,4.7,剧情 / 悬疑 / 武侠 / 古装,中国,2009,65.0,1.0
89,七天爱上你,5.6,剧情 / 喜剧 / 爱情,中国,2009,153.0,1.0
90,夜玫瑰,6.6,喜剧 / 剧情 / 爱情,中国大陆,2009,120.0,1.0
91,末路雷霆 Dòng máu anh hùng,6.4,动作 / 剧情 / 爱情,越南,2009,130.0,0.0
92,精灵女孩小卓玛,6.8,动画 / 奇幻,中国,2009,117.0,1.0
93,我的机器人女友 僕の彼女はサイボーグ,7.5,喜剧 / 爱情 / 科幻,日本,2009,110.0,0.0
94,二十四城记,7.4,剧情,中国大陆/中国香港/日本,2009,110.0,1.0
95,跳出去,5.3,喜剧 / 剧情,中国香港/中国,2009,100.0,1.0
96,替身演员 La doublure,7.1,剧情 / 喜剧,法国/意大利/比利时,2009,88.0,0.0
97,袁隆平,9.0,剧情 / 传记,中国大陆,2009,56.0,1.0
98,喊过岭的故事,6.8,剧情,中国大陆/中国香港,2009,40.0,1.0
99,寻找微尘,6.3,剧情,中国大陆,2009,35.0,1.0
100,绑架冰激凌,4.9,喜剧,中国大陆,2010,255.0,1.0
101,前度,7.0,爱情,中国香港,2010,680.0,1.0
102,午夜心跳,3.3,恐怖,中国大陆,2010,3125.0,1.0
103,火线特攻 Righteous Kill,6.6,剧情 / 犯罪 / 悬疑,美国,2010,700.0,0.0
104,赵氏孤儿,6.0,剧情 / 动作 / 历史 / 武侠 / 古装,中国大陆,2010,19630.0,1.0
105,大笑江湖,4.8,动作 / 爱情 / 武侠 / 古装,中国大陆/中国台湾,2010,15895.0,1.0
106,大玩家,4.6,喜剧,中国大陆,2010,740.0,1.0
107,李小龙我的兄弟,6.3,剧情 / 传记 / 动作 / 爱情,中国大陆/中国香港,2010,1374.0,1.0
108,生化危机4：战神再生 Resident Evil: Afterlife,6.8,动作 / 科幻 / 恐怖,德国/法国/美国/加拿大,2010,14320.0,0.0
109,哈利·波特与死亡圣器(上) Harry Potter and the Deathly Hallows: Part 1,8.5,奇幻 / 冒险,英国/美国,2010,22110.0,0.0
110,爱情36计,5.0,喜剧 / 爱情,中国大陆,2010,480.0,1.0
111,爱出色,5.9,喜剧 / 爱情,中国大陆,2010,1300.0,1.0
112,"猫头鹰王国：守卫者传奇 Legend of the Guardians: The Owls of Ga&#39,Hoole",7.4,动作 / 动画 / 奇幻 / 冒险,美国/澳大利亚,2010,3080.0,0.0
113,危情时速 Unstoppable,7.8,动作 / 惊悚,美国,2010,6752.0,0.0
114,康定情歌,6.7,剧情 / 战争 / 冒险,中国大陆,2010,839.0,1.0
115,功夫·咏春,5.5,动作,中国大陆/中国香港,2010,590.0,1.0
116,我的野蛮女友2,3.8,喜剧 / 爱情,中国大陆,2010,1840.0,1.0
117,跟我的前妻谈恋爱,5.3,剧情 / 爱情,中国大陆/中国香港/韩国,2010,470.0,1.0
118,密室之不可告人,5.7,悬疑 / 惊悚,中国大陆,2010,2109.0,1.0
119,西风烈,6.1,剧情 / 动作 / 犯罪 / 西部,中国大陆,2010,6340.0,1.0
120,爱情维修站,5.6,剧情,中国大陆,2010,670.0,1.0
121,完美嫁衣 抱抱俏佳人,6.5,喜剧 / 爱情,中国香港/中国大陆,2010,1460.0,1.0
122,异空危情,4.0,爱情 / 惊悚 / 情色,中国大陆,2010,120.0,1.0
123,悍将双雄 Jerry Cotton,5.9,喜剧 / 犯罪,德国,2010,340.0,0.0
124,绝命岛,3.2,喜剧,中国大陆,2010,1420.0,1.0
125,魔侠传之唐吉可德,4.4,剧情 / 喜剧 / 动作 / 爱情 / 武侠 / 古装,中国大陆,2010,3552.0,1.0
126,华尔街：金钱永不眠 Wall Street: Money Never Sleeps,6.5,剧情 / 犯罪,美国,2010,4983.0,0.0
127,庐山恋2010,4.8,剧情 / 爱情,中国大陆,2010,427.0,1.0
128,剑雨,7.6,动作 / 爱情 / 武侠 / 古装,中国大陆/中国香港/中国台湾,2010,6600.0,1.0
129,狄仁杰之通天帝国,6.6,动作 / 悬疑 / 古装,中国大陆/中国香港,2010,29550.0,1.0
130,虎王归来 Tiger Returns,4.9,喜剧 / 动画 / 儿童,中国大陆,2010,557.0,1.0
131,精武风云·陈真 精武風雲·陳真,6.1,动作,中国香港/中国大陆,2010,13668.0,1.0
132,大劫难,6.4,剧情 / 战争,中国大陆,2010,166.0,1.0
133,让子弹飞,9.0,剧情 / 喜剧 / 动作 / 西部,中国大陆/中国香港,2010,66470.0,1.0
134,山楂树之恋,7.1,剧情 / 爱情,中国大陆,2010,14413.0,1.0
